"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Dorfromantik","0","0","5","0","0.30","0.30","0.06","0.04","33.3","0.05","0.05","1010","0.16","2022-05-09","1455840"
"Best Forklift Operator","0","0","5","0","2.15","2.15","0.43","0.36","16.3","0.00","0.00","37","1.12","2022-05-08","1684670"
"Dune: Spice Wars","0","0","12","0","1.12","1.12","0.09","0.08","11.1","0.56","0.66","291","0.47","2022-05-08","1605220"
"Tour de France 2022","0","0","8","0","0.75","0.75","0.09","N/A","0.0","0.83","0.25","58","0.31","2022-05-06","1767570"
"Wildcat Gun Machine","0","0","5","0","0.82","0.82","0.16","0.31","-93.8","9.88","52.03","19","0.42","2022-05-06","1288610"
"Crossroads Inn Anniversary Edition","0","0","10","0","0.41","0.41","0.04","0.55","-1,275.0","0.24","0.07","237","0.17","2022-05-05","867290"
"Rogue Legacy 2","0","0","6","0","0.27","0.27","0.04","0.03","25.0","0.05","0.05","1234","0.10","2022-05-05","1253920"
"Trek to Yomi","0","0","5","0","0.49","0.49","0.10","0.11","-10.0","0.21","0.19","49","0.26","2022-05-05","1370050"
"Ravenous Devils","0","0","5","0","0.38","0.38","0.08","0.06","25.0","0.09","0.06","283","0.21","2022-05-05","1615290"
"Shadow Warrior 3","0","0","10","0","1.07","1.07","0.11","0.09","18.2","0.31","0.39","46","0.48","2022-05-04","1036890"
"Decoherence","0","0","10","0","1.42","1.42","0.14","0.19","-35.7","0.00","38.04","10","0.61","2022-05-04","561660"
"Hana no No ni Saku Utakata no","0","0","12","0","0.90","0.90","0.08","0.18","-125.0","0.11","1.20","62","0.42","2022-05-04","1944250"
"Power to the People","0","0","8","0","0.40","0.40","0.05","0.04","20.0","0.67","0.06","61","0.17","2022-05-03","1413370"
"OnlyFap Simulator 💦","0","0","5","0","0.53","0.53","0.11","0.12","-9.1","0.07","0.07","25","0.29","2022-05-03","1886630"
